company,tier,total,repo_count,tooling_signal,migration_signal,contributor_count,recency,repo_age,commit_velocity,careers_keywords,eng_hiring_velocity,funding_recency,plg_signal,ai_native,engineering_scale,industry_complexity,ts_js_dominance,npm_org,jvm_disqualifier,route,rationale
Browser Use,Tier 2,67,4,9,5,4,5,0,5,0,5,0,5,5,0,10,10,0,0,standard_outbound,"Score driven by: 3 SDK/tooling-pattern repos, 2 migration-pattern repos (chat-ui-example: 'v3', go-harnessless: 'rewrite'), ~15.7 commits/week across top repos, 3 open eng roles, 56% repos active in last 90d, AI-native company, developer_tools vertical; v2 signals — strong ts_js_dominance [top 3 active langs: Python (19), TypeScript (9), HTML (2) · qa-use: Next.js in package.json]."
Mentra,Tier 2,61,4,6,0,4,5,5,5,0,0,0,5,5,0,10,10,5,-3,split_pitch_jvm,"Score driven by: ~31.5 commits/week across top repos, 33% repos active in last 90d, AI-native company, developer_tools vertical; v2 signals — strong ts_js_dominance [top 3 active langs: TypeScript (23), HTML (1), Java (1) · MentraOS-Display-Example-App: Express in package.json · LiveCaptionsOnSmartGlasses: Hono in package.json]; strong npm_org [@mentra: 5 packages · cross-ref: @mentra/cli depends on @mentra/types]; weak jvm_disqualifier [JVM in top 3 active langs: Java]."
Promptless,Tier 2,55,7,6,0,4,5,0,3,0,5,0,5,5,0,10,5,0,0,standard_outbound,"Score driven by: ~3.5 commits/week across top repos, 1 open eng roles, 47% repos active in last 90d, AI-native company, ai_native vertical; v2 signals — weak ts_js_dominance [top 3 active langs: MDX (1), TypeScript (1)]."
assistant-ui,Tier 3,52,4,6,0,2,5,0,5,0,0,0,5,5,0,10,5,5,0,standard_outbound,"Score driven by: ~11.2 commits/week across top repos, 58% repos active in last 90d, AI-native company, developer_tools vertical; v2 signals — weak ts_js_dominance [top 3 active langs: TypeScript (18), Python (1)]; strong npm_org [@assistant-ui: 29 packages · cross-ref: @assistant-ui/react-markdown depends on @assistant-ui/react]."
Corsair,Tier 3,51,4,0,0,4,10,0,3,0,0,0,5,5,0,10,10,0,0,standard_outbound,"Score driven by: ~7.6 commits/week across top repos, 80% repos active in last 90d, AI-native company, ai_infra vertical; v2 signals — strong ts_js_dominance [top 3 active langs: TypeScript (3) · agent: Express in package.json · fly: Express in package.json]."
BlindPay,Tier 3,49,4,3,0,2,10,0,3,0,0,0,5,5,0,10,5,2,0,standard_outbound,"Score driven by: ~1.8 commits/week across top repos, 88% repos active in last 90d, AI-native company, fintech vertical; v2 signals — weak ts_js_dominance [top 3 active langs: TypeScript (2), Python (1), Swift (1)]; weak npm_org [@blindpay: 3 packages]."
Mastra,Tier 3,49,7,3,0,4,0,0,5,0,0,0,5,5,0,10,5,5,0,standard_outbound,"Score driven by: ~35.4 commits/week across top repos, AI-native company, developer_tools vertical; v2 signals — weak ts_js_dominance [top 3 active langs: TypeScript (88), HTML (4), JavaScript (1)]; strong npm_org [@mastra: 145 packages · cross-ref: @mastra/loggers depends on @mastra/core]."
Woz,Tier 3,49,4,0,0,2,10,0,3,0,5,0,5,5,0,10,5,0,0,standard_outbound,"Score driven by: ~7.3 commits/week across top repos, 4 open eng roles, 100% repos active in last 90d, AI-native company, developer_tools vertical; v2 signals — weak ts_js_dominance [top 3 active langs: JavaScript (1)]."
Confident AI,Tier 3,48,4,0,0,4,10,0,5,0,5,0,5,5,0,10,0,0,0,standard_outbound,"Score driven by: ~15.0 commits/week across top repos, 4 open eng roles, 80% repos active in last 90d, AI-native company, ai_infra vertical."
Roark,Tier 3,48,4,9,0,2,5,0,3,0,0,0,5,5,0,10,5,0,0,standard_outbound,"Score driven by: 3 SDK/tooling-pattern repos, ~9.5 commits/week across top repos, 67% repos active in last 90d, AI-native company, ai_infra vertical; v2 signals — weak ts_js_dominance [top 3 active langs: TypeScript (1), Python (1)]."
Revise Robotics,Tier 3,47,4,3,0,2,10,0,3,0,5,0,5,5,0,10,0,0,0,standard_outbound,"Score driven by: ~3.5 commits/week across top repos, 2 open eng roles, 100% repos active in last 90d, AI-native company, ai_native vertical."
ZeroEntropy,Tier 3,46,4,0,0,2,5,0,0,0,5,0,5,5,0,10,10,0,0,standard_outbound,"Score driven by: 4 open eng roles, 47% repos active in last 90d, AI-native company, ai_native vertical; v2 signals — strong ts_js_dominance [top 3 active langs: Python (8), TypeScript (4), Jupyter Notebook (2) · vercel-demo: Next.js in package.json · auto-optimize: Next.js in package.json]."
Onlook,Tier 3,45,4,0,0,4,0,0,0,0,5,0,5,5,0,10,10,2,0,standard_outbound,"Score driven by: 1 open eng roles, AI-native company, ai_native vertical; v2 signals — strong ts_js_dominance [top 3 active langs: TypeScript (13), JavaScript (1) · starter: Next.js in package.json · docs: Next.js in package.json]; weak npm_org [@onlook: 12 packages]."
Pinch,Tier 3,45,4,9,0,2,5,0,0,0,0,0,5,5,0,10,5,0,0,standard_outbound,"Score driven by: 3 SDK/tooling-pattern repos, 64% repos active in last 90d, AI-native company, developer_tools vertical; v2 signals — weak ts_js_dominance [top 3 active langs: Python (4), HTML (1), TypeScript (1)]."
Adam,Tier 3,44,4,0,0,2,5,0,3,0,5,0,5,5,0,10,5,0,0,standard_outbound,"Score driven by: ~5.5 commits/week across top repos, 3 open eng roles, 50% repos active in last 90d, AI-native company, ai_native vertical; v2 signals — weak ts_js_dominance [top 3 active langs: TypeScript (2)]."
Asteroid,Tier 3,43,4,0,0,4,0,0,0,0,5,0,5,5,0,10,10,0,0,standard_outbound,"Score driven by: 2 open eng roles, AI-native company, ai_native vertical; v2 signals — strong ts_js_dominance [top 3 active langs: TypeScript (2) · blog: Next.js in package.json]."
superglue,Tier 3,42,4,3,0,2,5,0,3,0,0,0,5,5,0,10,5,0,0,standard_outbound,"Score driven by: ~1.3 commits/week across top repos, 33% repos active in last 90d, AI-native company, ai_native vertical; v2 signals — weak ts_js_dominance [top 3 active langs: TypeScript (3)]."
Bild AI,Tier 3,41,4,0,0,2,10,0,0,0,5,0,5,5,0,10,0,0,0,standard_outbound,"Score driven by: 2 open eng roles, 100% repos active in last 90d, AI-native company, ai_native vertical."
ReJot,Tier 3,41,4,0,0,2,5,0,3,0,0,0,5,5,0,10,5,2,0,standard_outbound,"Score driven by: ~3.7 commits/week across top repos, 60% repos active in last 90d, AI-native company, ai_native vertical; v2 signals — weak ts_js_dominance [top 3 active langs: TypeScript (4), Go (1)]; weak npm_org [@rejot: 7 packages]."
Subtrace,Tier 3,39,4,3,0,2,0,0,0,0,0,0,5,5,0,10,10,0,0,standard_outbound,"Score driven by: AI-native company, ai_native vertical; v2 signals — strong ts_js_dominance [top 3 active langs: Go (1), Python (1), JavaScript (1) · nextjs-demo: Next.js in package.json]."
TrainLoop,Tier 3,39,4,3,0,2,0,0,0,0,0,0,5,5,0,10,10,0,0,standard_outbound,"Score driven by: AI-native company, ai_infra vertical; v2 signals — strong ts_js_dominance [top 3 active langs: TypeScript (2), Python (2), Shell (1) · chat-ui-demo: Next.js in package.json]."
Lucidic AI,Tier 3,36,4,0,0,2,10,0,0,0,0,0,5,5,0,10,0,0,0,standard_outbound,"Score driven by: 100% repos active in last 90d, AI-native company, ai_infra vertical."
Butter,Tier 3,34,4,0,0,2,5,0,3,0,0,0,5,5,0,10,0,0,0,standard_outbound,"Score driven by: ~4.3 commits/week across top repos, 50% repos active in last 90d, AI-native company, ai_infra vertical."
Quantstruct,Tier 3,33,4,0,0,4,0,0,0,0,5,0,5,5,0,10,0,0,0,standard_outbound,"Score driven by: 1 open eng roles, AI-native company, ai_native vertical."
Artificial Societies,Tier 3,31,4,0,0,2,0,0,0,0,5,0,5,5,0,10,0,0,0,standard_outbound,"Score driven by: 1 open eng roles, AI-native company, ai_native vertical."
Bindwell,Tier 4,26,4,0,0,2,0,0,0,0,0,0,5,5,0,10,0,0,0,standard_outbound,"Score driven by: AI-native company, ai_native vertical."
Flowtel,Tier 4,25,0,0,0,0,0,0,0,0,5,0,5,5,0,10,0,0,0,standard_outbound,"Score driven by: 1 open eng roles, AI-native company, ai_infra vertical."
Overstand Labs,Tier 4,25,0,0,0,0,0,0,0,0,5,0,5,5,0,10,0,0,0,standard_outbound,"Score driven by: 1 open eng roles, AI-native company, ai_native vertical."
YouShift,Tier 4,25,0,0,0,0,0,0,0,0,5,0,5,5,0,10,0,0,0,standard_outbound,"Score driven by: 2 open eng roles, AI-native company, ai_native vertical."
Cifrato,Tier 4,20,0,0,0,0,0,0,0,0,0,0,5,5,0,10,0,0,0,standard_outbound,"Score driven by: AI-native company, ai_native vertical."
Dartboard Energy,Tier 4,20,0,0,0,0,0,0,0,0,0,0,5,5,0,10,0,0,0,standard_outbound,"Score driven by: AI-native company, ai_native vertical."
Leaping AI,Tier 4,20,0,0,0,0,0,0,0,0,0,0,5,5,0,10,0,0,0,standard_outbound,"Score driven by: AI-native company, ai_infra vertical."
